objc[10976]: Class JavaLaunchHelper is implemented in both /Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/bin/java (0x1027264c0) and /Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/jre/lib/libinstrument.dylib (0x1037484e0). One of the two will be used. Which one is undefined.
http://128.195.52.217:19002/query/service

AsterixDB Client - Read-Only Workload - Starting Iteration 0
 Q6-3	301464	2019-07-15 18:34:14.0		2019-07-15 18:39:15.464
 Q7-3	228152	2019-07-15 18:39:15.464		2019-07-15 18:43:03.62
 Q8-3	226508	2019-07-15 18:43:03.621		2019-07-15 18:46:50.213
 Q9-3	219669	2019-07-15 18:46:50.214		2019-07-15 18:50:29.96
 Q3-1	674977	2019-07-15 18:50:29.961		2019-07-15 19:01:44.953
 Q5-4	284845	2019-07-15 19:01:44.954		2019-07-15 19:06:29.799
 Q6-4	276075	2019-07-15 19:06:29.799		2019-07-15 19:11:05.891
 Q7-4	211955	2019-07-15 19:11:05.891		2019-07-15 19:14:37.933
 Q8-4	207583	2019-07-15 19:14:37.934		2019-07-15 19:18:05.52
 Q9-4	208077	2019-07-15 19:18:05.521		2019-07-15 19:21:33.672
Total time for iteration 2 :	7880730 ms


AsterixDB Client - Read-Only Workload - Starting Iteration 3
 Q3-1	675163	2019-07-15 19:21:33.673		2019-07-15 19:32:48.836
 Q5-1	385850	2019-07-15 19:32:48.836		2019-07-15 19:39:14.697
 Q6-1	330747	2019-07-15 19:39:14.698		2019-07-15 19:44:45.446
 Q7-1	253338	2019-07-15 19:44:45.447		2019-07-15 19:48:58.8
 Q8-1	248005	2019-07-15 19:48:58.8		2019-07-15 19:53:06.822
 Q9-1	244313	2019-07-15 19:53:06.823		2019-07-15 19:57:11.199
 Q3-1	675173	2019-07-15 19:57:11.2		2019-07-15 20:08:26.374
 Q5-2	375811	2019-07-15 20:08:26.375		2019-07-15 20:14:42.189
 Q6-2	337515	2019-07-15 20:14:42.189		2019-07-15 20:20:19.711
 Q7-2	260093	2019-07-15 20:20:19.712		2019-07-15 20:24:39.834
 Q8-2	254540	2019-07-15 20:24:39.835		2019-07-15 20:28:54.375
 Q9-2	263175	2019-07-15 20:28:54.375		2019-07-15 20:33:17.569
 Q3-1	675423	2019-07-15 20:33:17.569		2019-07-15 20:44:32.992
 Q5-3	383187	2019-07-15 20:44:32.993		2019-07-15 20:50:56.187
 Q6-3	344063	2019-07-15 20:50:56.188		2019-07-15 20:56:40.251
 Q7-3	273207	2019-07-15 20:56:40.252		2019-07-15 21:01:13.463
 Q8-3	268288	2019-07-15 21:01:13.464		2019-07-15 21:05:41.823
 Q9-3	268223	2019-07-15 21:05:41.824		2019-07-15 21:10:10.115
 Q3-1	675168	2019-07-15 21:10:10.116		2019-07-15 21:21:25.284
 Q5-4	290248	2019-07-15 21:21:25.285		2019-07-15 21:26:15.592
 Q6-4	243002	2019-07-15 21:26:15.592		2019-07-15 21:30:18.608
 Q7-4	172226	2019-07-15 21:30:18.608		2019-07-15 21:33:10.927
 Q8-4	171736	2019-07-15 21:33:10.928		2019-07-15 21:36:02.667
 Q9-4	170189	2019-07-15 21:36:02.668		2019-07-15 21:38:52.932
Total time for iteration 3 :	8239260 ms


AsterixDB Client - Read-Only Workload - Starting Iteration 4
 Q3-1	675162	2019-07-15 21:38:52.933		2019-07-15 21:50:08.096
 Q5-1	318263	2019-07-15 21:50:08.097		2019-07-15 21:55:26.371
 Q6-1	285075	2019-07-15 21:55:26.372		2019-07-15 22:00:11.447
 Q7-1	204804	2019-07-15 22:00:11.448		2019-07-15 22:03:36.266
 Q8-1	199463	2019-07-15 22:03:36.267		2019-07-15 22:06:55.751
 Q9-1	195361	2019-07-15 22:06:55.752		2019-07-15 22:10:11.177
 Q3-1	675173	2019-07-15 22:10:11.178		2019-07-15 22:21:26.351
 Q5-2	300651	2019-07-15 22:21:26.352		2019-07-15 22:26:27.006
 Q6-2	282625	2019-07-15 22:26:27.007		2019-07-15 22:31:09.64
 Q7-2	206434	2019-07-15 22:31:09.64		2019-07-15 22:34:36.101
 Q8-2	202318	2019-07-15 22:34:36.102		2019-07-15 22:37:58.42
 Q9-2	198863	2019-07-15 22:37:58.421		2019-07-15 22:41:17.308
 Q3-1	675213	2019-07-15 22:41:17.309		2019-07-15 22:52:32.523
 Q5-3	287751	2019-07-15 22:52:32.523		2019-07-15 22:57:20.282
 Q6-3	272993	2019-07-15 22:57:20.283		2019-07-15 23:01:53.278
 Q7-3	199379	2019-07-15 23:01:53.279		2019-07-15 23:05:12.673
 Q8-3	195054	2019-07-15 23:05:12.674		2019-07-15 23:08:27.803
 Q9-3	193051	2019-07-15 23:08:27.805		2019-07-15 23:11:40.935
 Q3-1	675364	2019-07-15 23:11:40.937		2019-07-15 23:22:56.302
